instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
12,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.10581744533800125,0.0
76,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.19753587448802984,0.0
140,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.05579707438308086,1.0
204,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.16557668307473805,1.0
268,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5245656632702683,0.0
362,colosseum,,d2-c1-n0.1-m2,2,0.1,2,,-12.086218290266444,3000,0.007894405314974914,0.0
486,colosseum,,d3-c1-n0.1-m6,3,0.1,6,,-2.2494890599102795,3000,-0.07709641228950408,0.025
610,colosseum,,d4-c1-n0.1-m10,4,0.1,10,,4.907010535399368,3000,-0.287438643337315,0.6875
734,colosseum,,d5-c1-n0.1-m14,5,0.1,14,,19.805718872836444,3000,0.26349758061298634,0.2
873,colosseum,,d6-c1-n0.2-m3,6,0.2,3,,-50.455187355146435,3000,-0.3539309618573872,1.0
