instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
14,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.008220726156135408,0.0
78,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.08745202656638791,1.0
142,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.2889911351375369,0.0
206,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.3139861499693891,1.0
270,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.42888805180636363,1.0
364,colosseum,,d2-c1-n0.1-m4,2,0.1,4,,-1.095170415248552,3000,0.02872859622434655,0.0125
488,colosseum,,d3-c1-n0.1-m8,3,0.1,8,,25.65230615275553,3000,0.2951401468159912,0.0
612,colosseum,,d4-c1-n0.1-m12,4,0.1,12,,2.082313981868797,3000,-0.2356441585669638,0.1375
751,colosseum,,d5-c1-n0.2-m1,5,0.2,1,,-19.136262533696787,3000,-0.21420629919466322,1.0
875,colosseum,,d6-c1-n0.2-m5,6,0.2,5,,-49.26458148457658,3000,-0.5965097991038184,1.0
