instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
9,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.09200852311159374,0.0125,5.932888984680176,6
73,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.22402074541804176,0.0,5.160222053527832,1
137,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1437774896702166,0.925,6.598947048187256,1
201,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.25126658531878643,1.0,7.25344705581665,1
265,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.46988616468326905,0.0,6.997779846191406,1
344,colosseum,,d2-c1-n0.05-m14,2,0.05,14,,3.3309368943672926,3000,0.02068737081903549,0.0,6.056565284729004,6
483,colosseum,,d3-c1-n0.1-m3,3,0.1,3,,4.107036960514779,3000,-0.04397017635342382,0.2125,5.662683963775635,1
607,colosseum,,d4-c1-n0.1-m7,4,0.1,7,,-12.183740340828578,3000,-0.11016312270684854,0.5125,6.676167964935303,1
731,colosseum,,d5-c1-n0.1-m11,5,0.1,11,,-18.969061686030443,3000,-0.14430236005455527,0.225,6.9465765953063965,1
870,colosseum,,d6-c1-n0.2-m0,6,0.2,0,,-34.693294949412,3000,-0.37618233340391677,1.0,7.5426788330078125,1
