instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
58,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.05020863866481415,0.0,5.562673568725586,5
122,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.03187129824194847,0.975,6.4880523681640625,1
186,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.09817425113677423,1.0,7.280928134918213,1
250,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5126056813436505,0.0,7.016597270965576,1
314,colosseum,,d2-c1-n0.01-m14,2,0.01,14,,-2.853722380261491,3000,-0.0430436896251194,0.0,6.038804531097412,8
453,colosseum,,d3-c1-n0.05-m3,3,0.05,3,,16.800746756883633,3000,0.17571027338406814,0.05,5.3822832107543945,1
577,colosseum,,d4-c1-n0.05-m7,4,0.05,7,,-4.587718319365236,3000,0.02159262882542598,0.1,6.62636661529541,1
701,colosseum,,d5-c1-n0.05-m11,5,0.05,11,,-12.478273660639108,3000,-0.03186367623692132,0.05,7.163270473480225,1
840,colosseum,,d6-c1-n0.1-m0,6,0.1,0,,-39.57480106909405,3000,-0.562873786571964,1.0,7.482951641082764,1
