instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
3,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.09969704510059871,0.0,5.776827335357666,6
67,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.24327317255229625,0.0,5.117008686065674,1
131,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,-0.0046725604192315445,1.0,6.5061774253845215,1
195,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.054653402118070085,1.0,7.262973308563232,1
259,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.4960176803500216,0.0,7.086222171783447,1
338,colosseum,,d2-c1-n0.05-m8,2,0.05,8,,13.350834999027843,3000,0.09696302917999836,0.0,6.235693454742432,7
462,colosseum,,d3-c1-n0.05-m12,3,0.05,12,,4.789913485957336,3000,0.09016938111261813,0.6625,5.508739471435547,1
601,colosseum,,d4-c1-n0.1-m1,4,0.1,1,,-25.490568830187783,3000,-0.14046951683996076,0.5625,6.686192512512207,1
725,colosseum,,d5-c1-n0.1-m5,5,0.1,5,,-33.13785935137783,3000,-0.5254881161753779,0.6625,7.087654113769531,1
849,colosseum,,d6-c1-n0.1-m9,6,0.1,9,,-69.16244751925056,3000,-0.2001432242944074,1.0,7.120942115783691,1
