instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
49,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0828281082441775,0.0,5.690524578094482,6
113,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0015481692426468352,1.0,4.866812229156494,1
177,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,-0.013730994681885905,1.0,6.782063961029053,1
241,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5129725271492899,0.0,7.0147624015808105,1
305,colosseum,,d2-c1-n0.01-m5,2,0.01,5,,17.833593420006732,3000,0.04554947527236096,0.025,6.574711799621582,14
429,colosseum,,d3-c1-n0.01-m9,3,0.01,9,,-16.296502183721266,3000,0.13127889253892044,0.2125,5.293307781219482,1
553,colosseum,,d4-c1-n0.01-m13,4,0.01,13,,-14.479569337189464,3000,-0.09453665222841359,0.1625,6.457927703857422,1
692,colosseum,,d5-c1-n0.05-m2,5,0.05,2,,-29.278471998111137,3000,0.2518528444215351,0.8,7.008297920227051,1
816,colosseum,,d6-c1-n0.05-m6,6,0.05,6,,20.366556504039107,3000,-0.11899519900758218,0.5125,7.117918491363525,1
