n_points,dim,rep,err,kappa_plus,frac
2000,2,4,,-0.00284798840955304,0.0
2000,3,6,,0.028019814885214586,1.0
2000,4,8,,0.09600338945224184,1.0
2000,5,10,,0.23803718910348343,1.0
2000,6,12,,0.4392243884383733,1.0
3000,2,14,,-0.021886284808607603,0.0
3000,3,16,,-0.11095853806849101,0.925
3000,4,18,,-0.040965130649194326,1.0
3000,5,20,,0.08701738555909001,1.0
3000,6,22,,0.19054203220063906,1.0
