instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
15,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.12842216689693783,0.0125,5.904813289642334,6
79,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2182955818288625,0.0,5.186286449432373,1
143,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.2285179522652685,0.975,6.593308925628662,1
207,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.24489845892123926,1.0,7.291958808898926,1
271,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.4798234708706144,0.0,6.958160400390625,1
365,colosseum,,d2-c1-n0.1-m5,2,0.1,5,,11.08152312025702,3000,0.09886700312897412,0.0,6.112778663635254,4
489,colosseum,,d3-c1-n0.1-m9,3,0.1,9,,-5.530406551054341,3000,0.008240438695430105,0.675,5.48007345199585,1
613,colosseum,,d4-c1-n0.1-m13,4,0.1,13,,-22.6348913684337,3000,-0.3940190789562047,0.075,6.689996242523193,1
752,colosseum,,d5-c1-n0.2-m2,5,0.2,2,,-8.878799685305857,3000,-0.04883760890780976,1.0,7.24444580078125,1
876,colosseum,,d6-c1-n0.2-m6,6,0.2,6,,-71.87814112792898,3000,0.12199305668527467,1.0,7.086930751800537,1
