instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
21,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.11731159581192223,0.0,5.969309329986572,7
85,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.19571908968306242,0.0,4.7249321937561035,1
149,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.010872878132606068,1.0,6.578192234039307,1
213,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.1891173681404686,1.0,7.276871681213379,1
277,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.47901823876038535,0.0,7.0048441886901855,1
371,colosseum,,d2-c1-n0.1-m11,2,0.1,11,,-16.934696980264345,3000,-0.10186970674010196,0.1,5.430605411529541,2
510,colosseum,,d3-c1-n0.2-m0,3,0.2,0,,9.530164910380307,3000,-0.03116831575002868,0.1125,5.892051696777344,1
634,colosseum,,d4-c1-n0.2-m4,4,0.2,4,,-5.665571274105821,3000,-0.2942127348568213,0.8875,6.896670818328857,1
758,colosseum,,d5-c1-n0.2-m8,5,0.2,8,,-31.847402516207314,3000,-0.35545026489913745,1.0,7.260974407196045,1
882,colosseum,,d6-c1-n0.2-m12,6,0.2,12,,-34.464017446927116,3000,-0.26991179239390184,1.0,7.288188457489014,1
