instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
18,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0733249289566816,0.0,5.961843013763428,7
82,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.23247329341682288,0.0,4.9669342041015625,1
146,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.08768033993775047,0.95,6.639523983001709,1
210,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.04801001238000638,1.0,7.304288387298584,1
274,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5520218518378874,0.0,7.10010290145874,1
368,colosseum,,d2-c1-n0.1-m8,2,0.1,8,,-4.380389712820355,3000,-0.0396076329401452,0.0375,6.074511528015137,4
492,colosseum,,d3-c1-n0.1-m12,3,0.1,12,,0.33539850293800555,3000,-0.17138729030099348,0.2875,5.7951483726501465,1
631,colosseum,,d4-c1-n0.2-m1,4,0.2,1,,9.496456875600702,3000,0.13208228391129184,0.2,6.557055950164795,1
755,colosseum,,d5-c1-n0.2-m5,5,0.2,5,,-34.37732560792047,3000,-0.8569095048834047,1.0,7.289849758148193,1
879,colosseum,,d6-c1-n0.2-m9,6,0.2,9,,-34.01810499140309,3000,-0.7173307711763556,1.0,7.395692348480225,1
