instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
11,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.020900294966546717,0.0,5.6064229011535645,5
75,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.0827928564215942,1.0,5.407937526702881,1
139,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3393597854017122,0.0,6.063857078552246,1
203,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.2925073918248529,1.0,7.223620891571045,1
267,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5256629367917957,1.0,7.428994178771973,1
361,colosseum,,d2-c1-n0.1-m1,2,0.1,1,,9.449520693307583,3000,0.00011337677082791375,0.0125,6.317070960998535,5
485,colosseum,,d3-c1-n0.1-m5,3,0.1,5,,-20.52226204708142,3000,-0.1323725979941758,0.425,5.637299537658691,1
609,colosseum,,d4-c1-n0.1-m9,4,0.1,9,,-0.08424882648408039,3000,0.07383178889264792,0.2625,6.748694896697998,1
733,colosseum,,d5-c1-n0.1-m13,5,0.1,13,,-36.53140813846787,3000,0.036012995895091646,1.0,7.047421455383301,1
872,colosseum,,d6-c1-n0.2-m2,6,0.2,2,,-31.49232593408417,3000,-0.4372295623786896,1.0,7.390102386474609,1
