instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
20,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.045946375288524674,0.0,5.56195068359375,5
84,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.1238954392885751,1.0,5.106996059417725,1
148,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.2976953050105969,0.0125,6.106368064880371,1
212,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.27362990941167253,1.0,7.193286418914795,1
276,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5408714498746414,1.0,7.458439826965332,1
370,colosseum,,d2-c1-n0.1-m10,2,0.1,10,,-7.72404280863429,3000,0.07270317313471944,0.025,5.858639717102051,3
494,colosseum,,d3-c1-n0.1-m14,3,0.1,14,,-1.6689192913019417,3000,-0.11918204177664203,0.3375,5.350997447967529,1
633,colosseum,,d4-c1-n0.2-m3,4,0.2,3,,-15.94121826097334,3000,-0.23521340778468885,0.4375,7.013306617736816,1
757,colosseum,,d5-c1-n0.2-m7,5,0.2,7,,-29.417968211109795,3000,-0.5000068522219192,1.0,7.2807464599609375,1
881,colosseum,,d6-c1-n0.2-m11,6,0.2,11,,-26.701955637154743,3000,-0.46260786316405506,1.0,7.28344202041626,1
